model_key,Model,Label,Metric level,PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Specificity,Balanced Accuracy,Brier,Accuracy,TN,FP,FN,TP
M1_raw,M1-raw Elastic-Net,T13,patient-weighted,0.18258553727419974,0.7218899728130496,0.7324324324324324,0.07679540118209044,0.13901509599882736,0.27052079174034543,0.614454775993238,0.6734436042128352,0.14618096679173834,0.6194039520570133,86.5357142857145,54.29761904761908,1.65,4.516666666666667
M1_raw,M1-raw Elastic-Net,T18,row-level,0.4661469073947524,0.8136423738041534,0.717391304347826,0.2037037037037037,0.3173076923076923,0.476878612716763,0.7692307692307693,0.7433110367892977,0.13549977623886175,0.7652892561983471,430.0,129.0,13.0,33.0
M1_raw,M1-raw Elastic-Net,T18,patient-weighted,0.5396705464474549,0.8368424655687912,0.7543352601156073,0.22437826220448268,0.34587533721425534,0.5123243879868766,0.7779984533183354,0.7661668567169712,0.13106679120416115,0.7761418853255588,105.39285714285724,30.0738095238095,2.8333333333333335,8.700000000000001
M1_raw,M1-raw Elastic-Net,T21,row-level,0.09832938880491944,0.4941528066528067,0.6153846153846154,0.0213903743315508,0.041343669250646,0.09389671361502347,0.38175675675675674,0.4985706860706861,0.15977274846027634,0.3867768595041322,226.0,366.0,5.0,8.0
M1_raw,M1-raw Elastic-Net,T21,patient-weighted,0.09607379874827456,0.4911864862088851,0.5952380952380951,0.022721371072448683,0.04377188594297143,0.09855823383644953,0.3755599800895965,0.48539903766384584,0.16104019941404737,0.38079041140265635,53.89285714285717,89.607142857143,1.4166666666666665,2.083333333333333
M1_raw,M1-raw Elastic-Net,Any,row-level,0.3955210509768079,0.7232147811130223,0.8805970149253731,0.125531914893617,0.21973929236499068,0.3997289972899729,0.23605947955390336,0.5583282472396383,0.34540705746513195,0.3074380165289256,127.0,411.0,8.0,59.0
M1_raw,M1-raw Elastic-Net,Any,patient-weighted,0.4515373479413285,0.7375504304030789,0.8794466403162056,0.12915129151291496,0.2252268536929248,0.40679604043147777,0.23141100702576084,0.5554288236709832,0.34174312856791483,0.3057661159701976,30.114285714285703,100.01904761904773,2.033333333333333,14.833333333333329
M1,M1 calibrated Elastic-Net,T13,row-level,0.1791680709116251,0.720230091139997,0.6521739130434783,0.057692307692307696,0.10600706713780919,0.21306818181818182,0.5790378006872853,0.6156058568653817,0.1636309563932043,0.5818181818181818,337.0,245.0,8.0,15.0
M1,M1 calibrated Elastic-Net,T13,patient-weighted,0.3071047157681014,0.7564976811130659,0.6972972972972973,0.06723001898522123,0.12263606423793826,0.24259194583993746,0.5763820794590028,0.63683968837815,0.16002820358229294,0.5814544865565273,81.17380952380971,59.659523809523876,1.8666666666666665,4.3
M1,M1 calibrated Elastic-Net,T18,row-level,0.4746922146723478,0.8094423271369682,0.717391304347826,0.21428571428571427,0.33,0.4881656804733728,0.7835420393559929,0.7504666718519095,0.13208844540840523,0.7785123966942149,438.0,121.0,13.0,33.0
